Strata;Plot;Individuals;Specie;Height;Diameter;Volume
1;1;1254;Luetzelburgia andrade-limae;4.5;8.912676813;0.019943552
1;1;1255;Luetzelburgia andrade-limae;4.5;15.91549431;0.055487511
1;1;1256;Diptychandra aurantiaca;2.5;4.13802852;0.003581528
1;1;1256;Diptychandra aurantiaca;2.5;3.342253805;0.002456845
1;1;1256;Diptychandra aurantiaca;2.5;3.183098862;0.002254153
1;1;1256;Diptychandra aurantiaca;2.5;3.69239468;0.002929122
1;1;1257;Diptychandra aurantiaca;2.5;5.920563883;0.006739294
1;1;1258;Diptychandra aurantiaca;4;7.639437268;0.014127291
1;1;1259;Diptychandra aurantiaca;2;4.933803236;0.00425613
1;1;1259;Diptychandra aurantiaca;2;3.405915782;0.002212979
1;1;1259;Diptychandra aurantiaca;2;3.087605896;0.001861129
1;1;1259;Diptychandra aurantiaca;2;3.819718634;0.002709311
1;1;1260;morta;3;5.092958179;0.005782572
1;1;1261;morta;1.5;4.933803236;0.003563193
1;1;1262;Luetzelburgia andrade-limae;2;4.965634224;0.004304709
1;1;1263;Luetzelburgia andrade-limae;2;5.347606088;0.004906171
1;1;1263;Luetzelburgia andrade-limae;2;3.819718634;0.002709311
1;1;1264;Luetzelburgia bahiensis;3;7.321127382;0.010971455
1;1;1264;Luetzelburgia bahiensis;3;6.525352667;0.008955114
1;1;1264;Luetzelburgia bahiensis;3;5.092958179;0.005782572
1;1;1264;Luetzelburgia bahiensis;3;3.978873577;0.003740408
1;1;1264;Luetzelburgia bahiensis;3;6.589014644;0.009109873
1;1;1264;Luetzelburgia bahiensis;3;6.238873769;0.008272977
1;1;1264;Luetzelburgia bahiensis;3;4.774648293;0.005160081
1;1;1265;Luetzelburgia andrade-limae;4;8.116902098;0.015722575
1;1;1266;Diptychandra aurantiaca;4;6.079718826;0.009441299
1;1;1267;Diptychandra aurantiaca;4;7.957747155;0.015182604
1;1;1267;Diptychandra aurantiaca;4;4.13802852;0.004788005
1;1;1267;Diptychandra aurantiaca;4;3.342253805;0.003284461
1;1;1267;Diptychandra aurantiaca;4;3.819718634;0.00415726
1;1;1267;Diptychandra aurantiaca;4;4.647324338;0.005876467
1;1;1267;Diptychandra aurantiaca;4;3.183098862;0.00301349
1;1;1267;Diptychandra aurantiaca;4;3.787887646;0.004096316
1;1;1268;Diptychandra aurantiaca;2;4.201690498;0.003205589
1;1;1269;Luetzelburgia andrade-limae;4;6.207042781;0.009793027
1;1;1270;Diptychandra aurantiaca;4.5;7.639437268;0.015193441
1;1;1270;Diptychandra aurantiaca;4.5;3.819718634;0.004470998
1;1;1270;Diptychandra aurantiaca;4.5;5.092958179;0.007428375
1;1;1270;Diptychandra aurantiaca;4.5;4.83831027;0.006785485
1;1;1270;Diptychandra aurantiaca;4.5;3.183098862;0.00324091
1;1;1270;Diptychandra aurantiaca;4.5;3.787887646;0.004405455
1;1;1270;Diptychandra aurantiaca;4.5;4.551831372;0.006092575
1;1;1271;Pityrocarpa moniliformis;5;8.53070495;0.019701324
1;1;1271;Pityrocarpa moniliformis;5;5.729577951;0.009759588
1;1;1271;Pityrocarpa moniliformis;5;5.315775099;0.008550219
1;1;1272;Pityrocarpa moniliformis;3;4.774648293;0.005160081
1;1;1273;Diptychandra aurantiaca;4.5;12.09577567;0.034186722
1;1;1274;Luetzelburgia bahiensis;4.5;12.5732405;0.036604087
1;1;1275;Diptychandra aurantiaca;4.5;5.411268065;0.008267203
1;1;1276;Diptychandra aurantiaca;4.5;6.366197724;0.011013331
1;1;1277;Diptychandra aurantiaca;4;4.583662361;0.005735148
1;1;1277;Diptychandra aurantiaca;4;4.774648293;0.006163566
1;1;1278;Diptychandra aurantiaca;2;4.13802852;0.003120371
1;1;1279;Diptychandra aurantiaca;3;3.501408748;0.002984992
1;1;1280;Luetzelburgia bahiensis;4;7.639437268;0.014127291
1;1;1280;Luetzelburgia bahiensis;4;5.411268065;0.007687079
1;1;1281;Diptychandra aurantiaca;3;3.947042589;0.003687762
1;1;1282;Diptychandra aurantiaca;2;4.13802852;0.003120371
1;1;1283;Diptychandra aurantiaca;4;6.525352667;0.010696622
1;1;1284;Diptychandra aurantiaca;3;4.13802852;0.004008474
1;1;1285;morta;3;8.689859893;0.014846541
1;1;1286;Diptychandra aurantiaca;3;3.501408748;0.002984992
1;1;1287;Diptychandra aurantiaca;3;3.978873577;0.003740408
1;1;1288;Diptychandra aurantiaca;4;6.016056849;0.009267529
1;1;1289;Luetzelburgia andrade-limae;5;19.09859317;0.08169537
1;1;1290;Diptychandra aurantiaca;4;11.14084602;0.027493504
1;1;1290;Diptychandra aurantiaca;4;5.252113122;0.007292577
1;1;1290;Diptychandra aurantiaca;4;4.456338407;0.005456995
1;1;1291;Diptychandra aurantiaca;3;5.092958179;0.005782572
1;1;1292;Diptychandra aurantiaca;4;7.448451337;0.013509972
1;1;1292;Diptychandra aurantiaca;4;4.774648293;0.006163566
1;1;1293;Diptychandra aurantiaca;3;6.207042781;0.008198633
1;1;1293;Diptychandra aurantiaca;3;4.456338407;0.004568546
1;1;1294;Diptychandra aurantiaca;3;5.888732894;0.007471254
1;1;1295;Diptychandra aurantiaca;2.5;3.183098862;0.002254153
1;1;1296;morta;3;12.09577567;0.026612437
1;1;1297;Diptychandra aurantiaca;4;4.774648293;0.006163566
1;1;1298;Diptychandra aurantiaca;4;10.31324031;0.023992158
1;1;1299;Luetzelburgia andrade-limae;6;12.73239545;0.044703952
1;1;1300;Diptychandra aurantiaca;3;6.366197724;0.008573258
1;1;1301;Luetzelburgia andrade-limae;4.5;8.594366927;0.018703768
1;1;1302;Diptychandra aurantiaca;4;12.09577567;0.031787779
1;2;1303;Pityrocarpa moniliformis;5;12.09577567;0.036485658
1;2;1304;Pityrocarpa moniliformis;5;11.61831085;0.033982465
1;2;1305;Pityrocarpa moniliformis;6;11.68197282;0.038402002
1;2;1306;Pityrocarpa moniliformis;6;12.09577567;0.04083504
1;2;1306;Pityrocarpa moniliformis;6;12.09577567;0.04083504
1;2;1307;Combretum glaucocarpum;4;5.092958179;0.006907113
1;2;1308;Pityrocarpa moniliformis;5;11.58647986;0.033818332
1;2;1308;Pityrocarpa moniliformis;5;9.549296586;0.024040624
1;2;1308;Pityrocarpa moniliformis;5;8.912676813;0.021284685
1;2;1308;Pityrocarpa moniliformis;5;7.957747155;0.017426423
1;2;1309;Pityrocarpa moniliformis;6;10.37690229;0.031157216
1;2;1310;Pityrocarpa moniliformis;6;9.45380362;0.026433436
1;2;1310;Pityrocarpa moniliformis;4;4.456338407;0.005456995
1;2;1311;Luetzelburgia bahiensis;4;4.297183463;0.005117762
1;2;1312;Pityrocarpa moniliformis;6;4.456338407;0.007010134
1;2;1313;Luetzelburgia bahiensis;4;3.183098862;0.00301349
1;2;1314;Pityrocarpa moniliformis;6;18.14366351;0.08352093
1;2;1315;morta;3;7.957747155;0.012710737
1;2;1316;Eugenia sp.1;3;3.183098862;0.002522866
1;2;1317;morta;4;4.61549335;0.005805621
1;2;1318;Anadenanthera colubrina;4;4.647324338;0.005876467
1;2;1319;Pityrocarpa moniliformis;3;6.68450761;0.009344161
1;2;1320;Pityrocarpa moniliformis;4;8.912676813;0.018544078
1;2;1321;Pityrocarpa moniliformis;6;10.37690229;0.031157216
1;2;1322;morta;4;4.774648293;0.006163566
1;2;1323;Diptychandra aurantiaca;4;5.156620156;0.00706021
1;2;1324;Pityrocarpa moniliformis;5;8.403380995;0.019185356
1;2;1325;Diptychandra aurantiaca;4.5;7.957747155;0.016328396
1;2;1326;Anadenanthera colubrina;4;3.183098862;0.00301349
1;2;1327;Diptychandra aurantiaca;4;5.729577951;0.008502948
1;2;1328;Diptychandra aurantiaca;4.5;6.047887837;0.01006018
1;2;1329;Pityrocarpa moniliformis;4.5;6.047887837;0.01006018
1;2;1330;Diptychandra aurantiaca;4;3.819718634;0.00415726
1;2;1330;Diptychandra aurantiaca;4;5.411268065;0.007687079
1;2;1330;Diptychandra aurantiaca;4;5.092958179;0.006907113
1;2;1331;Pityrocarpa moniliformis;4;9.230986699;0.019728789
1;2;1331;Pityrocarpa moniliformis;4;9.040000768;0.019014146
1;2;1332;Pityrocarpa moniliformis;3;5.092958179;0.005782572
1;2;1333;Pityrocarpa moniliformis;4.5;7.957747155;0.016328396
1;2;1334;Diptychandra aurantiaca;4.5;8.467042972;0.018217533
1;2;1335;Pityrocarpa moniliformis;5;13.05070533;0.041721544
1;2;1335;Pityrocarpa moniliformis;5;8.75352187;0.020618508
1;2;1336;Pityrocarpa moniliformis;3;6.047887837;0.007831283
1;2;1337;Pityrocarpa moniliformis;5;10.18591636;0.026940786
1;2;1338;Pityrocarpa moniliformis;4;8.085071109;0.015613927
1;2;1339;Pityrocarpa moniliformis;5;8.276057041;0.018675333
1;2;1339;Pityrocarpa moniliformis;5;9.485634608;0.023758502
1;2;1339;Pityrocarpa moniliformis;5;5.474930042;0.009007154
1;2;1340;Pityrocarpa moniliformis;4.5;7.639437268;0.015193441
1;2;1341;Pityrocarpa moniliformis;5;13.68732511;0.045379964
1;2;1341;Pityrocarpa moniliformis;5;7.257465405;0.014811803
1;2;1342;Pityrocarpa moniliformis;3;5.729577951;0.00711859
1;2;1343;Pityrocarpa moniliformis;6;8.912676813;0.02382199
1;2;1343;Pityrocarpa moniliformis;6;7.321127382;0.016834978
1;2;1344;Pityrocarpa moniliformis;5;8.276057041;0.018675333
1;2;1345;Pityrocarpa moniliformis;3;4.13802852;0.004008474
1;2;1346;Pityrocarpa moniliformis;4;7.002817496;0.01211631
1;2;1347;Pityrocarpa moniliformis;4;9.549296586;0.020945163
1;2;1348;Diptychandra aurantiaca;4;7.321127382;0.013105082
1;2;1349;Pityrocarpa moniliformis;3;4.074366543;0.003900283
1;2;1350;Diptychandra aurantiaca;4;6.207042781;0.009793027
1;2;1351;Commiphora leptophloeos;3;8.276057041;0.013621685
1;2;1352;Pityrocarpa moniliformis;6;12.5732405;0.043722513
1;2;1353;Pityrocarpa moniliformis;5;7.957747155;0.017426423
1;2;1354;Pityrocarpa moniliformis;6;9.230986699;0.025343887
1;2;1355;Pityrocarpa moniliformis;4;7.957747155;0.015182604
1;2;1355;Pityrocarpa moniliformis;4;7.639437268;0.014127291
1;2;1356;Pityrocarpa moniliformis;4;6.557183655;0.010788878
1;2;1357;Pityrocarpa moniliformis;5;9.867606472;0.025472817
1;2;1358;Pityrocarpa moniliformis;6;9.230986699;0.025343887
1;2;1358;Pityrocarpa moniliformis;6;11.07718404;0.034963163
1;2;1359;Pityrocarpa moniliformis;6;11.55464887;0.037666434
1;2;1360;Pityrocarpa moniliformis;5;7.639437268;0.016215146
1;2;1361;Pityrocarpa moniliformis;5;10.50422624;0.028444265
1;2;1362;Pityrocarpa moniliformis;4;9.867606472;0.022192947
1;2;1363;morta;4;5.092958179;0.006907113
1;2;1364;Pityrocarpa moniliformis;4;7.321127382;0.013105082
1;2;1365;Pityrocarpa moniliformis;3;5.411268065;0.006435552
1;2;1366;Diptychandra aurantiaca;4;8.594366927;0.017391291
1;2;1367;Pityrocarpa moniliformis;5;6.843662553;0.013354032
1;2;1368;Pityrocarpa moniliformis;5;6.939155519;0.013684626
1;2;1369;Pityrocarpa moniliformis;6.5;9.230986699;0.026628459
1;3;1370;Pityrocarpa moniliformis;4;5.729577951;0.008502948
1;3;1371;morta;3;6.366197724;0.008573258
1;3;1372;morta;3;9.549296586;0.017535098
1;3;1373;Diptychandra aurantiaca;4;6.366197724;0.010240506
1;3;1373;Diptychandra aurantiaca;4;4.297183463;0.005117762
1;3;1373;Diptychandra aurantiaca;4;3.183098862;0.00301349
1;3;1374;Pityrocarpa moniliformis;4;6.238873769;0.00988183
1;3;1375;Diptychandra aurantiaca;3;4.13802852;0.004008474
1;3;1376;morta;4;6.68450761;0.011161328
1;3;1377;Diptychandra aurantiaca;3;3.183098862;0.002522866
1;3;1378;Diptychandra aurantiaca;3;4.774648293;0.005160081
1;3;1378;Diptychandra aurantiaca;3;5.092958179;0.005782572
1;3;1379;Pityrocarpa moniliformis;5;7.957747155;0.017426423
1;3;1380;Diptychandra aurantiaca;3;4.13802852;0.004008474
1;3;1380;Diptychandra aurantiaca;3;4.456338407;0.004568546
1;3;1381;Diptychandra aurantiaca;4;6.047887837;0.009354239
1;3;1382;Diptychandra aurantiaca;4;5.092958179;0.006907113
1;3;1383;Commiphora leptophloeos;5;10.66338119;0.02920924
1;3;1384;Pityrocarpa moniliformis;6;15.15155058;0.060767265
1;3;1385;Pityrocarpa moniliformis;4.5;9.549296586;0.022525841
1;3;1386;Pityrocarpa moniliformis;5;8.085071109;0.017921491
1;3;1387;Pityrocarpa moniliformis;4;7.957747155;0.015182604
1;3;1388;Pityrocarpa moniliformis;4;5.729577951;0.008502948
1;3;1389;Pityrocarpa moniliformis;2;3.819718634;0.002709311
1;3;1390;Pityrocarpa moniliformis;4.5;9.390141642;0.021867516
1;3;1390;Pityrocarpa moniliformis;4.5;5.092958179;0.007428375
1;3;1391;Pityrocarpa moniliformis;4;9.040000768;0.019014146
1;3;1392;Pityrocarpa moniliformis;3;6.366197724;0.008573258
1;3;1393;Anadenanthera colubrina;5;9.549296586;0.024040624
1;3;1394;morta;4;9.549296586;0.020945163
1;3;1395;Diptychandra aurantiaca;4;3.660563691;0.003856453
1;3;1395;Diptychandra aurantiaca;4;3.278591828;0.00317486
1;3;1395;Diptychandra aurantiaca;4;4.456338407;0.005456995
1;3;1396;morta;4;3.819718634;0.00415726
1;3;1397;morta;4;5.729577951;0.008502948
1;3;1398;morta;4;3.183098862;0.00301349
1;3;1399;Pityrocarpa moniliformis;3;5.092958179;0.005782572
1;3;1400;Pityrocarpa moniliformis;4;7.639437268;0.014127291
1;3;1401;Pityrocarpa moniliformis;5;10.59971921;0.028902194
1;3;1402;Pityrocarpa moniliformis;4;7.639437268;0.014127291
1;3;1403;Pityrocarpa moniliformis;4;8.276057041;0.016270704
1;3;1404;morta;3;5.092958179;0.005782572
1;3;1405;Pityrocarpa moniliformis;4;8.276057041;0.016270704
1;3;1406;Pityrocarpa moniliformis;4;7.957747155;0.015182604
1;3;1407;Pityrocarpa moniliformis;3;5.411268065;0.006435552
1;3;1408;Pityrocarpa moniliformis;4;12.09577567;0.031787779
1;3;1409;Diptychandra aurantiaca;4;6.366197724;0.010240506
1;3;1409;Diptychandra aurantiaca;4;7.130141451;0.012507784
1;3;1409;Diptychandra aurantiaca;4;7.352958371;0.013205804
1;3;1410;Pityrocarpa moniliformis;5;14.32394488;0.049170889
1;3;1411;morta;3;3.183098862;0.002522866
1;3;1412;Diptychandra aurantiaca;4;3.183098862;0.00301349
1;3;1412;Diptychandra aurantiaca;4;5.252113122;0.007292577
1;3;1412;Diptychandra aurantiaca;4;3.819718634;0.00415726
1;3;1412;Diptychandra aurantiaca;4;4.13802852;0.004788005
1;3;1412;Diptychandra aurantiaca;4;3.819718634;0.00415726
1;3;1413;Anadenanthera colubrina;3;4.13802852;0.004008474
1;3;1414;Pityrocarpa moniliformis;5;7.257465405;0.014811803
1;3;1414;Pityrocarpa moniliformis;5;7.321127382;0.015041867
1;3;1415;Pityrocarpa moniliformis;6.5;17.95267758;0.08613063
1;3;1415;Pityrocarpa moniliformis;6.5;13.40084621;0.051408608
1;3;1415;Pityrocarpa moniliformis;6.5;14.96056465;0.062433854
