Strata;Plot;Individuals;Specie;Height;Diameter
1;1;1254;Luetzelburgia andrade-limae;4.5;8.912676813
1;1;1255;Luetzelburgia andrade-limae;4.5;15.91549431
1;1;1256;Diptychandra aurantiaca;2.5;4.13802852
1;1;1256;Diptychandra aurantiaca;2.5;3.342253805
1;1;1256;Diptychandra aurantiaca;2.5;3.183098862
1;1;1256;Diptychandra aurantiaca;2.5;3.69239468
1;1;1257;Diptychandra aurantiaca;2.5;5.920563883
1;1;1258;Diptychandra aurantiaca;4;7.639437268
1;1;1259;Diptychandra aurantiaca;2;4.933803236
1;1;1259;Diptychandra aurantiaca;2;3.405915782
1;1;1259;Diptychandra aurantiaca;2;3.087605896
1;1;1259;Diptychandra aurantiaca;2;3.819718634
1;1;1260;morta;3;5.092958179
1;1;1261;morta;1.5;4.933803236
1;1;1262;Luetzelburgia andrade-limae;2;4.965634224
1;1;1263;Luetzelburgia andrade-limae;2;5.347606088
1;1;1263;Luetzelburgia andrade-limae;2;3.819718634
1;1;1264;Luetzelburgia bahiensis;3;7.321127382
1;1;1264;Luetzelburgia bahiensis;3;6.525352667
1;1;1264;Luetzelburgia bahiensis;3;5.092958179
1;1;1264;Luetzelburgia bahiensis;3;3.978873577
1;1;1264;Luetzelburgia bahiensis;3;6.589014644
1;1;1264;Luetzelburgia bahiensis;3;6.238873769
1;1;1264;Luetzelburgia bahiensis;3;4.774648293
1;1;1265;Luetzelburgia andrade-limae;4;8.116902098
1;1;1266;Diptychandra aurantiaca;4;6.079718826
1;1;1267;Diptychandra aurantiaca;4;7.957747155
1;1;1267;Diptychandra aurantiaca;4;4.13802852
1;1;1267;Diptychandra aurantiaca;4;3.342253805
1;1;1267;Diptychandra aurantiaca;4;3.819718634
1;1;1267;Diptychandra aurantiaca;4;4.647324338
1;1;1267;Diptychandra aurantiaca;4;3.183098862
1;1;1267;Diptychandra aurantiaca;4;3.787887646
1;1;1268;Diptychandra aurantiaca;2;4.201690498
1;1;1269;Luetzelburgia andrade-limae;4;6.207042781
1;1;1270;Diptychandra aurantiaca;4.5;7.639437268
1;1;1270;Diptychandra aurantiaca;4.5;3.819718634
1;1;1270;Diptychandra aurantiaca;4.5;5.092958179
1;1;1270;Diptychandra aurantiaca;4.5;4.83831027
1;1;1270;Diptychandra aurantiaca;4.5;3.183098862
1;1;1270;Diptychandra aurantiaca;4.5;3.787887646
1;1;1270;Diptychandra aurantiaca;4.5;4.551831372
1;1;1271;Pityrocarpa moniliformis;5;8.53070495
1;1;1271;Pityrocarpa moniliformis;5;5.729577951
1;1;1271;Pityrocarpa moniliformis;5;5.315775099
1;1;1272;Pityrocarpa moniliformis;3;4.774648293
1;1;1273;Diptychandra aurantiaca;4.5;12.09577567
1;1;1274;Luetzelburgia bahiensis;4.5;12.5732405
1;1;1275;Diptychandra aurantiaca;4.5;5.411268065
1;1;1276;Diptychandra aurantiaca;4.5;6.366197724
1;1;1277;Diptychandra aurantiaca;4;4.583662361
1;1;1277;Diptychandra aurantiaca;4;4.774648293
1;1;1278;Diptychandra aurantiaca;2;4.13802852
1;1;1279;Diptychandra aurantiaca;3;3.501408748
1;1;1280;Luetzelburgia bahiensis;4;7.639437268
1;1;1280;Luetzelburgia bahiensis;4;5.411268065
1;1;1281;Diptychandra aurantiaca;3;3.947042589
1;1;1282;Diptychandra aurantiaca;2;4.13802852
1;1;1283;Diptychandra aurantiaca;4;6.525352667
1;1;1284;Diptychandra aurantiaca;3;4.13802852
1;1;1285;morta;3;8.689859893
1;1;1286;Diptychandra aurantiaca;3;3.501408748
1;1;1287;Diptychandra aurantiaca;3;3.978873577
1;1;1288;Diptychandra aurantiaca;4;6.016056849
1;1;1289;Luetzelburgia andrade-limae;5;19.09859317
1;1;1290;Diptychandra aurantiaca;4;11.14084602
1;1;1290;Diptychandra aurantiaca;4;5.252113122
1;1;1290;Diptychandra aurantiaca;4;4.456338407
1;1;1291;Diptychandra aurantiaca;3;5.092958179
1;1;1292;Diptychandra aurantiaca;4;7.448451337
1;1;1292;Diptychandra aurantiaca;4;4.774648293
1;1;1293;Diptychandra aurantiaca;3;6.207042781
1;1;1293;Diptychandra aurantiaca;3;4.456338407
1;1;1294;Diptychandra aurantiaca;3;5.888732894
1;1;1295;Diptychandra aurantiaca;2.5;3.183098862
1;1;1296;morta;3;12.09577567
1;1;1297;Diptychandra aurantiaca;4;4.774648293
1;1;1298;Diptychandra aurantiaca;4;10.31324031
1;1;1299;Luetzelburgia andrade-limae;6;12.73239545
1;1;1300;Diptychandra aurantiaca;3;6.366197724
1;1;1301;Luetzelburgia andrade-limae;4.5;8.594366927
1;1;1302;Diptychandra aurantiaca;4;12.09577567
1;2;1303;Pityrocarpa moniliformis;5;12.09577567
1;2;1304;Pityrocarpa moniliformis;5;11.61831085
1;2;1305;Pityrocarpa moniliformis;6;11.68197282
1;2;1306;Pityrocarpa moniliformis;6;12.09577567
1;2;1306;Pityrocarpa moniliformis;6;12.09577567
1;2;1307;Combretum glaucocarpum;4;5.092958179
1;2;1308;Pityrocarpa moniliformis;5;11.58647986
1;2;1308;Pityrocarpa moniliformis;5;9.549296586
1;2;1308;Pityrocarpa moniliformis;5;8.912676813
1;2;1308;Pityrocarpa moniliformis;5;7.957747155
1;2;1309;Pityrocarpa moniliformis;6;10.37690229
1;2;1310;Pityrocarpa moniliformis;6;9.45380362
1;2;1310;Pityrocarpa moniliformis;4;4.456338407
1;2;1311;Luetzelburgia bahiensis;4;4.297183463
1;2;1312;Pityrocarpa moniliformis;6;4.456338407
1;2;1313;Luetzelburgia bahiensis;4;3.183098862
1;2;1314;Pityrocarpa moniliformis;6;18.14366351
1;2;1315;morta;3;7.957747155
1;2;1316;Eugenia sp.1;3;3.183098862
1;2;1317;morta;4;4.61549335
1;2;1318;Anadenanthera colubrina;4;4.647324338
1;2;1319;Pityrocarpa moniliformis;3;6.68450761
