Sampled Point;Individual;Specie;Height;Diameter;Radial Distance
1;1;Eucaliptus sp.;24;19.15;
1;2;Eucaliptus sp.;25;14.18;
1;3;Eucaliptus sp.;24;16.74;
1;4;Eucaliptus sp.;23;15.65;
1;5;Eucaliptus sp.;20;20.69;
1;6;Eucaliptus sp.;23;18.97;
1;7;Eucaliptus sp.;24;16.92;
1;8;Eucaliptus sp.;24;15.33;
1;10;Eucaliptus sp.;24;17.24;
1;11;Eucaliptus sp.;23;16.61;
1;12;Eucaliptus sp.;24;15.33;
1;13;Eucaliptus sp.;24;13.42;4.5
1;14;Eucaliptus sp.;23;21.83;
1;15;Eucaliptus sp.;22;17.06;
1;16;Eucaliptus sp.;23;18.42;5.5
2;17;Eucaliptus sp.;21;19.92;
2;18;Eucaliptus sp.;33;21.57;
2;19;Eucaliptus sp.;36;19.52;
2;20;Eucaliptus sp.;21;18.97;5.5
2;21;Eucaliptus sp.;27;19.31;
2;22;Eucaliptus sp.;25;16.29;
2;23;Eucaliptus sp.;32;19.33;
2;24;Eucaliptus sp.;30;15.84;
3;25;Eucaliptus sp.;23;13.5;
3;26;Eucaliptus sp.;25;20.1;
3;27;Eucaliptus sp.;21;22;
3;28;Eucaliptus sp.;25;16.1;
3;29;Eucaliptus sp.;31;18.3;4.5
3;30;Eucaliptus sp.;27;16.1;
3;31;Eucaliptus sp.;32;16.2;
3;32;Eucaliptus sp.;22;19.9;
3;33;Eucaliptus sp.;27;20.4;4.3
3;34;Eucaliptus sp.;24;20.4;
3;35;Eucaliptus sp.;31;14.6;
3;36;Eucaliptus sp.;22;17.4;5.2
3;37;Eucaliptus sp.;30;20.7;6.4
3;38;Eucaliptus sp.;26;22.4;
4;39;Eucaliptus sp.;22.23;12.95499904;
4;40;Eucaliptus sp.;23.4;14.15891945;
4;41;Eucaliptus sp.;24.3;14.57888885;
4;42;Eucaliptus sp.;19.8;11.01755871;
4;43;Eucaliptus sp.;24.75;14.4;
4;44;Eucaliptus sp.;22.5;12.50708599;
4;45;Eucaliptus sp.;24.48;15.52336948;
4;46;Eucaliptus sp.;26.55;18.29503211;
4;47;Eucaliptus sp.;25.38;16.64610765;5.7
4;48;Eucaliptus sp.;22.5;13.00492215;
4;49;Eucaliptus sp.;22.05;13.27126219;
4;50;Eucaliptus sp.;23.4;13.84567441;
4;51;Eucaliptus sp.;22.5;13.08192646;
4;52;Eucaliptus sp.;25.65;16.90826721;4.9
5;53;Eucaliptus sp.;23.4;12.41869558;
5;54;Eucaliptus sp.;25.2;15.88442634;5.1
5;55;Eucaliptus sp.;22.68;12.55427417;
5;56;Eucaliptus sp.;20.43;10.73907817;
5;57;Eucaliptus sp.;26.37;13.54432723;
5;58;Eucaliptus sp.;21.33;11.11418013;
5;59;Eucaliptus sp.;24.48;14.26492902;
5;60;Eucaliptus sp.;24.75;15.15371242;4.9
5;61;Eucaliptus sp.;24.12;15.06364498;
5;62;Eucaliptus sp.;22.32;13.08564099;
5;63;Eucaliptus sp.;23.85;12.95499904;
5;64;Eucaliptus sp.;22.95;12.821131;
5;65;Eucaliptus sp.;22.5;12.37099026;4.1
5;66;Eucaliptus sp.;24.3;13.99434886;
6;67;Eucaliptus sp.;22.5;12.77492857;
6;68;Eucaliptus sp.;25.65;14.80329017;
6;69;Eucaliptus sp.;27.63;16.56684641;
6;70;Eucaliptus sp.;24.57;13.90492718;
6;71;Eucaliptus sp.;22.32;12.29710942;
6;72;Eucaliptus sp.;24.75;13.72492623;
6;73;Eucaliptus sp.;25.2;15.74974286;
6;74;Eucaliptus sp.;22.95;13.00492215;
6;75;Eucaliptus sp.;22.68;11.96864654;
6;76;Eucaliptus sp.;25.2;15.52180402;
6;77;Eucaliptus sp.;24.3;15.0167906;
7;78;Eucaliptus sp.;23.4;15.12;
7;79;Eucaliptus sp.;18.9;11.14220355;
7;80;Eucaliptus sp.;23.85;15.35205849;
7;81;Eucaliptus sp.;20.88;10.75490586;
7;82;Eucaliptus sp.;22.5;13.67881574;
7;83;Eucaliptus sp.;24.3;15.63903769;5.1
7;84;Eucaliptus sp.;21.6;11.36996042;
7;85;Eucaliptus sp.;22.95;12.86213046;
7;86;Eucaliptus sp.;21.6;11.87693142;
8;87;Eucaliptus sp.;21.78;12.10491636;
8;88;Eucaliptus sp.;23.4;13.6313609;
8;89;Eucaliptus sp.;23.4;13.00492215;
8;90;Eucaliptus sp.;23.22;12.19425274;
8;91;Eucaliptus sp.;22.32;12.19491697;
8;92;Eucaliptus sp.;23.4;13.218975;
8;93;Eucaliptus sp.;23.58;13.40879189;
8;94;Eucaliptus sp.;22.68;12.54136356;
8;95;Eucaliptus sp.;23.4;13.35886223;
8;96;Eucaliptus sp.;22.77;13.65036263;
8;97;Eucaliptus sp.;21.42;12.69;
9;98;Eucaliptus sp.;26.1;14.7556091;
9;99;Eucaliptus sp.;24.93;15.33701405;
9;100;Eucaliptus sp.;22.68;12.67850543;
9;101;Eucaliptus sp.;17.55;9.89345238;
9;102;Eucaliptus sp.;26.37;17.72177474;
9;103;Eucaliptus sp.;25.2;15.1499703;
9;104;Eucaliptus sp.;18.9;11.87147421;
9;105;Eucaliptus sp.;25.2;13.66933795;
9;106;Eucaliptus sp.;21.33;12.05462567;
9;107;Eucaliptus sp.;22.5;12.59196172;
9;108;Eucaliptus sp.;26.55;16.87494;5.9
10;109;Eucaliptus sp.;25.38;13.6313609;
10;110;Eucaliptus sp.;22.5;12.01087008;
10;111;Eucaliptus sp.;20.25;12.1446655;
10;112;Eucaliptus sp.;19.8;10.73907817;
10;113;Eucaliptus sp.;17.28;9.07394622;
10;114;Eucaliptus sp.;18.63;10.26946931;
10;115;Eucaliptus sp.;24.3;15.31587412;5.3
10;116;Eucaliptus sp.;26.37;16.50119996;
10;117;Eucaliptus sp.;22.68;12.49833989;
10;118;Eucaliptus sp.;22.05;11.5168355;
10;119;Eucaliptus sp.;23.22;13.5;
10;120;Eucaliptus sp.;23.4;13.90434464;
10;121;Eucaliptus sp.;26.55;13.89618653;4.8
10;122;Eucaliptus sp.;24.3;13.4513122;
