Stratum;Plot ;Individual ;Specie ;Height;Diameter
1;1;1;Cariocar braziliense;7.5;22.6
1;1;2;Pouteria ramiflora;7;25.78
1;1;3;Cariocar braziliense;9;46.15
1;1;4;Terminalia brasiliensis;6;9.55
1;1;5;Qualya parvifora;2;5.73
1;1;6;Magonia pubescens;4;5.73
1;1;7;Qualya parvifora;2;6.05
1;1;8;Stenocalyx dysentericus;3;6.05
1;1;9;Solanum lycocarpum;5;7
1;1;10;Stenocalyx dysentericus;5.2;6.68
1;1;11;Cariocar braziliense;5;16.87
1;1;12;Stenocalyx dysentericus;4;10.82
1;1;13;Stenocalyx dysentericus;3.4;5.41
1;1;14;Stenocalyx dysentericus;2.3;6.05
1;1;15;Stenocalyx dysentericus;5;15.28
1;1;16;Andira cujabensis;3;5.09
1;1;17;Qualya parvifora;2.5;7
1;1;18;Qualya parvifora;2.5;6.37
1;1;19;Stenocalyx dysentericus;4;11.14
1;1;20;Stenocalyx dysentericus;2;7
1;1;21;Qualea grandiflora;2.5;6.37
1;1;22;Stenocalyx dysentericus;3;5.41
1;1;23;Sclerolobium paniculatum;6;16.52
1;1;24;Astronium balansae;6;13.05
1;1;25;Sclerolobium paniculatum;5;7
1;1;26;Erioteca pubescens;4;5.41
1;1;27;Qualya parvifora;3;5.41
1;1;28;Sclerolobium paniculatum;6.5;10.19
1;1;29;Stenocalyx dysentericus;2.5;5.73
1;1;30;Qualya parvifora;3;6.05
1;1;31;Qualya parvifora;3.4;6.68
1;1;32;Cariocar braziliense;9;25.78
1;1;33;Qualya parvifora;2;5.73
1;1;34;Stenocalyx dysentericus;2;6.05
1;1;35;Curatella americana;3;7.15
1;1;36;Cariocar braziliense;7;26.1
1;1;37;Cariocar braziliense;7;15.6
1;1;38;Vatairea macrocarpa;3;8.59
1;1;39;Qualya parvifora;3;7.96
1;1;40;Qualya parvifora;2;5.41
1;1;41;Cariocar braziliense;6;18.14
1;1;42;Qualya parvifora;3.5;7
1;1;43;Qualya parvifora;3;7
1;1;44;Curatella americana;3;6.05
1;1;45;Qualya parvifora;3.5;6.37
1;1;46;Pouteria ramiflora;4;9.55
1;1;47;Pouteria ramiflora;3;6.68
1;1;48;Stenocalyx dysentericus;3;5.73
1;1;49;Cariocar braziliense;3.5;6.68
1;1;50;Stenocalyx dysentericus;4;7
1;1;51;Cariocar braziliense;8.5;24.51
1;1;52;Bowdichia virgilioides;6;12.41
1;1;53;Astronium balansae;2;5.41
1;1;54;Cariocar braziliense;2.5;6.05
1;2;55;Cariocar braziliense;12;45.84
1;2;56;Cariocar braziliense;13;43.93
1;2;57;Sclerolobium paniculatum;11;24.51
1;2;58;Astronium balansae;6.5;20.69
1;2;59;Cariocar braziliense;4.5;20.05
1;2;60;Sclerolobium paniculatum;9;19.42
1;2;61;Astronium balansae;7;18.46
1;2;62;Plathymenia reticulata;6.5;13.37
1;2;63;Qualya parvifora;3;11.46
1;2;64;Machaerium opacum;2;10.5
1;2;65;Maprounea guianensis;4;10.19
1;2;66;Qualya parvifora;3;9.87
1;2;67;Dimorphandra molles;4.5;9.55
1;2;68;Stenocalyx dysentericus;4;9.55
1;2;69;Qualya parvifora;2;9.23
1;2;70;Qualya parvifora;2.5;8.59
1;2;71;Machaerium opacum;4;8.28
1;2;72;Annona cacans;3.5;8.28
1;2;73;Vochysia elliptica;3.5;8.28
1;2;74;Qualya parvifora;3.5;8.28
1;2;75;Qualya parvifora;3;8.28
1;2;76;Qualya parvifora;3;8.28
1;2;77;Stenocalyx dysentericus;3;8.28
1;2;78;Stenocalyx dysentericus;2.5;8.28
1;2;79;Qualya parvifora;2;8.28
1;2;80;Qualya parvifora;4;7.96
1;2;81;Cariocar braziliense;3.5;7.96
1;2;82;Qualya parvifora;3;7.96
1;2;83;Stenocalyx dysentericus;3.5;7.32
1;2;84;Stenocalyx dysentericus;3;7.32
1;2;85;Stenocalyx dysentericus;3;7.32
1;2;86;Qualya parvifora;3;7.32
1;2;87;Byrsonima crassifólia;3;7.32
1;2;88;Machaerium opacum;2;7.32
1;2;89;Stenocalyx dysentericus;2;7.32
1;2;90;Stenocalyx dysentericus;3;7
1;2;91;Stenocalyx dysentericus;3;7
1;2;92;Annona cacans;3;7
